Function		Average (s)	Count
BackendRegistry.__init__                                  0.006897         29
BackendRegistry.list_backends                             0.141778     890467
BackendRegistry.register                                  0.178631      17446
MetricsManager.__init__                                   0.425517        580
MetricsManager._get_rif_key                               0.000009     733756
MetricsManager.get_avg_latency                            0.443921      49808
MetricsManager.get_in_flight                              0.000054    2151460
MetricsManager.prometheus_middleware                    101.920545     683948
PrequalLoadBalancer.__init__                              0.020000         15
PrequalLoadBalancer._classify_backends                    1.585462     328873
PrequalLoadBalancer._schedule_probe_tasks                 0.033942     301862
PrequalLoadBalancer._select_backend                       0.935093     328873
PrequalLoadBalancer.get_next_backend                      2.681161     328873
ProbeManager.__init__                                     0.000000         29
ProbeManager.send_probe                                 116.490907      32257
ProbePool.__init__                                        0.000000         29
ProbePool.add_probe                                       0.003932      32245
ProbePool.get_current_latency                             0.000011    1640642
ProbePool.get_rif_values                                  0.000047    6409835
ProbeTaskQueue.__init__                                   0.000000         29
ProbeTaskQueue.add_task                                   0.001021      32519
ProbeTaskQueue.get_task                                  91.695887      32260
ProbeTaskQueue.size                                       0.000006      32286
ProbeTaskQueue.task_done                                  0.000009      32257
ProxyHandler.__init__                                     0.000000         29
ProxyHandler.handle_proxy                               107.289824     651701
RoundRobinLoadBalancer.__init__                           0.071429         14
RoundRobinLoadBalancer.get_next_backend                   0.204804     322934
